"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P3";"Pin_Header_Straight_1x06";1;"FTDI BACKUP";;;
2;"W14";"Test_Point_Keystone_5005-5009_Compact";1;"PTC4";;;
3;"W13";"Test_Point_Keystone_5005-5009_Compact";1;"PTC3";;;
4;"W12";"Test_Point_Keystone_5005-5009_Compact";1;"PTC1";;;
5;"W11";"Test_Point_Keystone_5005-5009_Compact";1;"PTB1";;;
6;"TP5";"Test_Point_Keystone_5005-5009_Compact";1;"GND";;;
7;"W8";"Test_Point_Keystone_5005-5009_Compact";1;"PTD6";;;
8;"W1";"Test_Point_Keystone_5005-5009_Compact";1;"SPI_CH1_MOSI";;;
9;"W2";"Test_Point_Keystone_5005-5009_Compact";1;"SPI_CH1_MISO";;;
10;"W3";"Test_Point_Keystone_5005-5009_Compact";1;"SPI_CH1_SCLK";;;
11;"W4";"Test_Point_Keystone_5005-5009_Compact";1;"LED_DATA_OUT";;;
12;"TP4";"Test_Point_Keystone_5005-5009_Compact";1;"VBAT";;;
13;"C8,C9,C10,C11,C12,C6,C1,C2,C20,C21,C7,C4,C5,C3";"C_1206_HandSoldering";14;"100nF";;;
14;"C13";"C_1206_HandSoldering";1;"1uF";;;
15;"C14,C15,C31";"C_1206_HandSoldering";3;"10uF";;;
16;"C17";"C_1206_HandSoldering";1;"100uF";;;
17;"C18,C19";"C_1206_HandSoldering";2;"11pF";;;
18;"C23";"C_1206_HandSoldering";1;"6.8pF";;;
19;"C24";"C_1206_HandSoldering";1;"100pF";;;
20;"C25";"C_1206_HandSoldering";1;"7.5pF";;;
21;"C26";"C_1206_HandSoldering";1;"5.6pF";;;
22;"C27,C28";"C_1206_HandSoldering";2;"1.2pF";;;
23;"C29";"C_1206_HandSoldering";1;"2.0pF";;;
24;"C30,C32,C22";"C_1206_HandSoldering";3;"0.1uF";;;
25;"U15";"SOT-23-5";1;"TPS76333";;;
26;"U16";"SOT-23-5";1;"MCP73831T-2ACI/OT";;;
27;"R3,R6";"R_1206";2;"10k";;;
28;"A1";"Antenna_Wurth_7488910092";1;"7488910092_ANTENNA";;;
29;"D5";"LED_1206";1;"RED (CHARGING)";;;
30;"D6";"LED_1206";1;"GRN (DONE)";;;
31;"R5";"R_1206";1;"2k";;;
32;"R15,R16,R14,R13";"R_1206";4;"1k";;;
33;"P1";"TM1000";1;"TM1000";;;
34;"SP1";"TDK_PS1720PD2";1;"TDK PS1720P02";;;
35;"P2";"IDC_Header_Straight_40pins";1;"CONN_02X20";;;
36;"P4";"USB_Mini-B";1;"USB_OTG";;;
37;"U14";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"FT232RL SSOP";;;
38;"D2";"LED-RGB-5MM_Common_Cathode";1;"LED_RCBG";;;
39;"D3";"LED_1206";1;"RED";;;
40;"U2,U1,U10,U9,U8,U7,U6,U5,U4,U3,U12,U11";"LED_WS2812B-PLCC4";12;"WS2812B";;;
41;"U13";"98ASA00302D";1;"MKW01Z128";;;
42;"SW1";"SW_SPST_B3S-1000";1;"SW_PUSH";;;
43;"J2";"IDC_Header_Straight_10pins";1;"JTAG";;;
44;"BT1";"JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled";1;"Battery 3.7v 1000mAh";;;
45;"Y1";"Crystal_SMD_0603_4Pads";1;"32Mhz XTAL";;;
46;"L2,L3";"Neosid_Inductor_SM1206";2;"0.0068 uH";;;
47;"L4";"Neosid_Inductor_SM1206";1;"15 NH";;;
48;"L1";"Neosid_Inductor_SM1206";1;"0.0047 uH";;;
49;"D1";"LED_1206";1;"POWER";;;
50;"D4";"LED_1206";1;"GREEN";;;
51;"TP1";"Test_Point_Keystone_5005-5009_Compact";1;"PTA4";;;
52;"R11,R12,R9,R10";"R_1206";4;"220";;;
53;"R1";"R_1206";1;"1K";;;
54;"R4";"R_1206";1;"120";;;
55;"R7,R2";"R_1206";2;"100";;;
56;"R8";"R_1206";1;"10K";;;
57;"Q1";"SOT-323";1;"2N3904";;;
