Part		Description	Price:	1	10	100	250	1000
MF-CAP-0402-1nF	MF-CAP-0402-1nF - Capacitor MLCC 0402 1nF 5% 50V	Capacitor MLCC 0402 1nF 5% 50V		$0.050	$0.016	$0.008	$0.006	$0.004
MF-RES-0805-220K	MF-RES-0805-220K - Resistor Thick Film 0805 220K Ohm 5% 125mW 150V	Resistor Thick Film 0805 220K Ohm 5% 125mW 150V		$0.050	$0.010	$0.008	$0.006	$0.004
MF-RES-0402-6.8K	MF-RES-0402-6.8K - Resistor Thick Film 0402 6.8K Ohm 5% 100mW 50V	Resistor Thick Film 0402 6.8K Ohm 5% 100mW 50V		$0.050	$0.008	$0.006	$0.005	$0.003
MF-RES-0603-330	MF-RES-0603-330 - Resistor Thick Film 0603 330 Ohm 5% 100mW 75V	Resistor Thick Film 0603 330 Ohm 5% 100mW 75V		$0.050	$0.008	$0.006	$0.004	$0.003
MF-RES-0402-22	MF-RES-0402-22 - Resistor Thick Film 0402 22 Ohm 5% 100mW 50V	Resistor Thick Film 0402 22 Ohm 5% 100mW 50V		$0.050	$0.008	$0.005	$0.004	$0.003
MF-RES-0603-1K	MF-RES-0603-1K - Resistor Thick Film 0603 1K Ohm 5% 100mW 75V	Resistor Thick Film 0603 1K Ohm 5% 100mW 75V		$0.050	$0.008	$0.006	$0.004	$0.003
MF-RES-0805-470K	MF-RES-0805-470K - Resistor Thick Film 0805 470K Ohm 5% 125mW 150V	Resistor Thick Film 0805 470K Ohm 5% 125mW 150V		$0.050	$0.010	$0.008	$0.006	$0.004
MF-CAP-0603-18pF	MF-CAP-0603-18pF - Capacitor MLCC 0603 18pF 5% 50V	Capacitor MLCC 0603 18pF 5% 50V		$0.050	$0.010	$0.009	$0.007	$0.006
MF-RES-0805-18K	MF-RES-0805-18K - Resistor Thick Film 0805 18K Ohm 5% 125mW 150V	Resistor Thick Film 0805 18K Ohm 5% 125mW 150V		$0.050	$0.010	$0.008	$0.006	$0.004
MF-RES-0402-750K	MF-RES-0402-750K - Resistor Thick Film 0402 750K Ohm 5% 100mW 50V	Resistor Thick Film 0402 750K Ohm 5% 100mW 50V		$0.050	$0.008	$0.006	$0.005	$0.003
MF-RES-0603-220	MF-RES-0603-220 - Resistor Thick Film 0603 220 Ohm 5% 100mW 75V	Resistor Thick Film 0603 220 Ohm 5% 100mW 75V		$0.050	$0.006	$0.005	$0.004	$0.003
MF-RES-0805-2K	MF-RES-0805-2K - Resistor Thick Film 0805 2K Ohm5% 125W 150V	Resistor Thick Film 0805 2K Ohm5% 125W 150V		$0.050	$0.010	$0.008	$0.006	$0.004
MF-RES-0805-22	MF-RES-0805-22 - Resistor Thick Film 0805 22 Ohm 5% 125mW 150V	Resistor Thick Film 0805 22 Ohm 5% 125mW 150V		$0.050	$0.010	$0.008	$0.006	$0.004
MF-RES-0402-1K	MF-RES-0402-1K - Resistor Thick Film 0402 1K Ohm 5% 100mW 50V	Resistor Thick Film 0402 1K Ohm 5% 100mW 50V		$0.080	$0.007	$0.005	$0.004	$0.003
MF-RES-0402-390	MF-RES-0402-390 - Resistor Thick Film 0402 390 Ohm 5% 100mW 50V	Resistor Thick Film 0402 390 Ohm 5% 100mW 50V		$0.050	$0.008	$0.005	$0.004	$0.003
MF-RES-0603-560K	MF-RES-0603-560K - Resistor Thick Film 0603 560K Ohm 5% 100mW 75V	Resistor Thick Film 0603 560K Ohm 5% 100mW 75V		$0.050	$0.010	$0.005	$0.004	$0.003
MF-CAP-12.5MM-1000uF	MF-CAP-12.5MM-1000uF - Capacitor Aluminum Electrolytic 12.5mm 1000uF 20% 25V	Capacitor Aluminum Electrolytic 12.5mm 1000uF 20% 25V		$1.100	$0.900	$0.610	$0.580	$0.560
MF-RES-0603-220K	MF-RES-0603-220K - Resistor Thick Film 0603 220K Ohm 5% 100mW 75V	Resistor Thick Film 0603 220K Ohm 5% 100mW 75V		$0.050	$0.010	$0.005	$0.004	$0.003
MF-RES-0603-750K	MF-RES-0603-750K - Resistor Thick Film 0603 750K Ohm 5% 100mW 75V	Resistor Thick Film 0603 750K Ohm 5% 100mW 75V		$0.050	$0.010	$0.005	$0.004	$0.003
MF-RES-0603-18K	MF-RES-0603-18K - Resistor Thick Film 0603 18K Ohm 5% 100mW 75V	Resistor Thick Film 0603 18K Ohm 5% 100mW 75V		$0.050	$0.010	$0.005	$0.004	$0.003
MF-RES-0603-47	MF-RES-0603-47 - Resistor Thick Film 0603 47 Ohm 5% 100mW 75V	Resistor Thick Film 0603 47 Ohm 5% 100mW 75V		$0.050	$0.008	$0.005	$0.004	$0.003
MF-CAP-0402-8.2pF	MF-CAP-0402-8.2pF - Capacitor MLCC 0402 8.2pF +/-0.25pF 25V	Capacitor MLCC 0402 8.2pF +/-0.25pF 25V		$0.080	$0.010	$0.008	$0.007	$0.006
MF-CAP-0603-22pF	MF-CAP-0603-22pF - Capacitor MLCC 0603 22pF 5% 100V	Capacitor MLCC 0603 22pF 5% 100V		$0.050	$0.016	$0.011	$0.010	$0.009
MF-CAP-0603-0.01uF	MF-CAP-0603-0.01uF - Capacitor MLCC 0603 0.01uF 10% 50V	Capacitor MLCC 0603 0.01uF 10% 50V		$0.050	$0.010	$0.006	$0.005	$0.004
MF-LED-0603-RED	MF-LED-0603-RED - Red LED 631nm 54mcd 0603 	Red LED 631nm 54mcd 0603		$0.200	$0.180	$0.120	$0.100	$0.050
MF-CAP-0603-1nF	MF-CAP-0603-1nF - Capacitor MLCC 0603 1nF 10% 50V	Capacitor MLCC 0603 1nF 10% 50V		$0.050	$0.009	$0.007	$0.006	$0.005
MF-SW-TACT-6MM	MF-SW-TACT-6MM - Tactile Switch 6MM 	Tactile Switch 6MM		$0.180	$0.170	$0.150	$0.140	$0.110
MF-CON-MICROUSB-RIGHT	MF-CON-MICROUSB-RIGHT - Micro USB Connector Type B Right Angle	Micro USB Connector Type B Right Angle		$0.370	$0.290	$0.250	$0.240	$0.220
MF-CON-2.54mm-01x27	MF-CON-2.54mm-01x27 - Pin Header 2.54mm 1x27 Unshrouded 27 Pins, 1 Row of 27, 01x27	Pin Header 2.54mm 1x27 Unshrouded 27 Pins, 1 Row of 27, 01x27		$2.341	$1.9	$1.186	$1.013	$0.66
