Designators	Part Number	Count	Unit Cost
C26	08051A5R6CAT2A	2	$0.324
C23	08051A6R8CAT2A	2	$0.204
P2	1-215307-0	2	$3.096
P4	105017-0001	2	$0.876
D2	150080BS75000	2	$0.216
BT1	1769	2	$0.900
C25	251R15S7R5CV4E	2	$0.240
L4	36502A15NJTDG	2	$0.192
A1	7488910092	2	$4.440
Y1	AWSCR-32.00CW-T	2	$0.552
C29	C0805C209C5GACTU	2	$0.396
C24	CC0805JRNPO9BN101	2	$0.120
C14, C15, C31	CL21A106KQFNNNG	6	$0.120
C27, C28	CL21C1R2BBANNNC	4	$0.120
U14	FT232RL-TUBE	2	$5.400
C17	GRM21BR60G107ME15L	2	$1.416
L2, L3	IMC0805ER6N8J01	4	$0.156
L1	KL732ATTE4N7C	2	$0.768
J2	M50-3500542	2	$1.416
U16	MCP73831T-2ACI/OT	2	$0.696
C5, C6, C7, C8, C9, C10, C11, C12, C3, C20, C21, C22, C30, C32, C4, C1, C2	MF-CAP-0805-0.1uF	34	$0.011
C13	MF-CAP-0805-1uF	2	$0.060
D4, D6, D8	MF-LED-0805-GREEN	6	$0.080
D1, D3, D7, D5	MF-LED-0805-RED	8	$0.080
R2, R4, R7	MF-RES-0805-100	6	$0.050
R3, R6, R8	MF-RES-0805-10K	6	$0.050
R16, R15, R14, R13, R1	MF-RES-0805-1K	10	$0.010
R10, R12, R11, R9	MF-RES-0805-220	8	$0.050
R5	MF-RES-0805-2K	2	$0.050
U13	MKW01Z128CHN	2	$4.824
Q1	MMBT3904LT1G	2	$0.120
SP1	PS1720P02	2	$0.876
SW1	TL3301NF160QG	2	$0.468
P1	TM1000Q	2	$1.848
U15	TPS76333DBVR	2	$1.068
U9, U3, U2, U1, U10, U8, U7, U6, U5, U4, U12, U11	WS2812B	24	$0.200
